NOME_LOCAL;CIDADE;BAIRRO;CONTA_CONTRATO;POSTE;TRAFO;ALIMENTADOR;LATITUDE;LONGITUDE;UTD;UTEP
ESCOLA MUNICIPAL PROFESSOR EDMO PINHEIRO PINTO;PARNAMIRIM;CAJUPIRANGA;850627134;P01490;3069934;JPC-01J1;-5.9449933;-35.25053;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSOR JUSSIER SANTOS;PARNAMIRIM;SANTA TEREZA;242390016;GD3769;3023612;JPC-01J2;-5.9335383;-35.28994;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSOR LUIS MARANHAO FILHO;PARNAMIRIM;VIDA NOVA;714264010;P00712;3021531;PNA-01P7;-5.899635;-35.26836;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSORA ALZELINA DE SENA VALENÇA;PARNAMIRIM;ROSA DOS VENTOS;7023449212;O28327;3121541;PSA-01C2;-5.92425;-35.2761617;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSORA ENEDINA EDUARDO DO NASCIMENTO;PARNAMIRIM;VALE DO SOL;208086014;J00645;2074027;JPC-01J3;-5.9313583;-35.2740633;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSORA EULINA AUGUSTO DE ALMEIDA;PARNAMIRIM;NOVA ESPERANÇA;214836017;B10763;3072629;JPC-01J2;-5.9504933;-35.2810917;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSORA EVA LÚCIA BEZERRA DE MENDONÇA;PARNAMIRIM;PARQUE DE EXPOSIçõES;695218010;J01962;211771X;PNA-01P3;-5.89683;-35.2614117;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSORA FRANCISCA FERNANDES DA ROCHA;PARNAMIRIM;MONTE CASTELO;204838011;H01319;2069001;PSA-01C1;-5.9107883;-35.267635;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSORA IRENE SOARES DA SILVA;PARNAMIRIM;MONTE CASTELO;204534012;H00349;218085X;PNA-01P7;-5.9074967;-35.2684833;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL PROFESSORA IRIS DE ALMEIDA MATOS;PARNAMIRIM;MONTE CASTELO;7010318178;V08146;3096048;PNA-01P5;-5.9037168;-35.2659534;PARNAMIRIM;LITORAL
ESCOLA MUNICIPAL RAIMUNDA MARIA DA CONCEIÇÃO;PARNAMIRIM;COTOVELO - DISTRITO LITORAL;851480102;N60845;3111456;LTS-01Y4;-5.95465;-35.154545;PARNAMIRIM;LITORAL
IFRN - INSTITUTO FEDERAL DE EDUCAÇÃO - CAMPUS PARNAMIRIM;PARNAMIRIM;NOVA ESPERANÇA;7003488777;T90142;3067864;JPC-01J1;-5.938995;-35.2657717;PARNAMIRIM;LITORAL
CMEI PROFª MARIA DA CONCEIÇÃO TRINDADE;NISIA FLORESTA;MORRINHOS;226891013;P30099;639070;SJM-01Z2;-6.11141404;-35.15972883;PARNAMIRIM;LITORAL
ESC EST ALCEU EMILIANO DA SILVA;NISIA FLORESTA;TABATINGA;203050011;P26028;3109091;LTS-01Y2;-6.06104584;-35.10290782;PARNAMIRIM;LITORAL
ESC EST ANA DUARTE LOPES;NISIA FLORESTA;ALCAÇUS;201425018;P24321;458278;LTS-01Y3;-6.00158445;-35.13870978;PARNAMIRIM;LITORAL
ESC EST CELITA FREIRE BARBOSA;NISIA FLORESTA;PIRANGI DO SUL;201300010;P21878;1743158;LTS-01Y3;-5.9860685;-35.12040689;PARNAMIRIM;LITORAL
ESC EST DR LAVOSIER MAIA;NISIA FLORESTA;HORTIGRANJEIRA;201626013;B13942;3083012;LTS-01Y3;-5.97539549;-35.15760619;PARNAMIRIM;LITORAL
ESC EST FRANCISCO CAMILO DE SOUZA;NISIA FLORESTA;COLÔNIA DO PIUM;188610013;G8160;128999X;LTS-01Y3;-5.96015052;-35.16302727;PARNAMIRIM;LITORAL
ESC EST NISIA FLORESTA;NISIA FLORESTA;CENTRO;170860012;P27844;2288934;SJM-01Z2;-6.08994224;-35.20773266;PARNAMIRIM;LITORAL
ESC EST PROF ADELIA DA SILVA GURGEL;NISIA FLORESTA;CAMPO DE SANTANA;227207019;U02155;2356946;SJM-01Z2;-6.1114725;-35.12849274;PARNAMIRIM;LITORAL
ESC EST ZILDEVAR FERREIRA;NISIA FLORESTA;JENIPAPEIRO;227543019;P28209;2375733;SJM-01Z4;-6.13242479;-35.17252078;PARNAMIRIM;LITORAL
ESC MUN ALBERTO DE CARVALHO ARAUJO;NISIA FLORESTA;BÚZIOS;7022204259;V10269;3117678;LTS-01Y3;-6.00772528;-35.10959239;PARNAMIRIM;LITORAL
ESC MUN ANA AMÉLIA DE OLIVEIRA;NISIA FLORESTA;TOROROMBA;226743014;P30045;3073858;SJM-01Z2;-6.10394375;-35.18438662;PARNAMIRIM;LITORAL
ESC MUN DE PIUM;NISIA FLORESTA;COLÔNIA DO PIUM;7001152895;U67597;1742678;LTS-01Y3;-5.94577828;-35.18494519;PARNAMIRIM;LITORAL
ESC MUN FRANCISCA PEREIRA DA SILVA;NISIA FLORESTA;LAGOA AZUL;718835011;V08487;3105285;LTS-01Y3;-5.96259288;-35.20111674;PARNAMIRIM;LITORAL
ESC MUN FRANCISCO DOMINGOS DE SOUZA;NISIA FLORESTA;LAGOA DO BONFIM;575680011;P24806;210381;SJM-01Z1;-6.04209918;-35.22703115;PARNAMIRIM;LITORAL
ESC MUN JOANA M DO NASCIMENTO;NISIA FLORESTA;BOA ÁGUA;226828010;B13992;2100947;SJM-01Z1;-6.05785753;-35.1861449;PARNAMIRIM;LITORAL
ESC MUN LEONOR MARIA BEZERRA;NISIA FLORESTA;TIMBÓ;227276010;C12810;2105746;SJM-01Z2;-6.08453767;-35.15636718;PARNAMIRIM;LITORAL
ESC MUN MARIA DE LOURDES FERREIRA DE CARVALHO;NISIA FLORESTA;GOLANDI;227397012;P28112;2247903;SJM-01Z4;-6.12956165;-35.21029802;PARNAMIRIM;LITORAL
ESC MUN MARIA MERCIA DE CARVALHO;NISIA FLORESTA;BARRETA;227657014;A12856;3080902;LTS-01Y2;-6.1022504;-35.10166294;PARNAMIRIM;LITORAL
ESC MUN PROFESSORA AURORA COSTA DE CARVALHO;NISIA FLORESTA;MONTE HERMINIO;170922018;U08602;3102470;SJM-01Z2;-6.08654824;-35.20740501;PARNAMIRIM;LITORAL
ESC MUN PROFESSORA TEREZINHA DA SILVA LEITE;NISIA FLORESTA;PORTO;171546010;P27928;2289037;SJM-01Z2;-6.10110111;-35.19642966;PARNAMIRIM;LITORAL
ESC MUN SANDOVAL RIBEIRO DANTAS;NISIA FLORESTA;MAZAPAS;217919010;T95640;236030;SJM-01Z2;-6.07005659;-35.22861533;PARNAMIRIM;LITORAL
ESC MUN YAYÁ PAIVA;NISIA FLORESTA;CENTRO;7030224692;V05620;3075259;SJM-01Z2;-6.09150932;-35.20793055;PARNAMIRIM;LITORAL
ESCOLA ESTADUAL JESSE FREIRE;SENADOR GEORGINO AVELINO;DISTRITO CARNAÚBA;186782011;P28381;3071681;SJM-01Z4;-6.14710162;-35.14255397;LITORAL SUL;LITORAL
ESCOLA MUNICIPAL MONSENHOR PEGADO;SENADOR GEORGINO AVELINO;CENTRO;243286018;P41051;853235X;GNA-01Z6;-6.15964648;-35.12254804;LITORAL SUL;LITORAL
CEEP PROF. DJANIRA BRASILINO DE SOUZA;NATAL;N.S.DA APRESENTAÇÃO;7012921912;V07532;3091782;IGA-01Z4;-5.7620484;-35.2815228;NATAL NORTE;LITORAL
CENTRO EDUCACIONAL DOM BOSCO;NATAL;LAGOA AZUL;853807001;GD1636;3049489;PJA-01J2;-5.72694121;-35.25456175;NATAL NORTE;LITORAL
CMEI PADRE SABINO GENTILLE;NATAL;PAJUCARA;167128017;A5041;3092000;PJA-01J1;-5.7313426;-35.2357631;NATAL NORTE;LITORAL
CMEI PROF. BELCHIOR JORGE DE SA;NATAL;N.S.DA APRESENTAÇÃO;135786012;A6156;3028102;IGA-01Z5;-5.755434;-35.2689749;NATAL NORTE;LITORAL
CMEI PROF. LUIZ GONZAGA DINIZ FILHO;NATAL;PAJUCARA;850543585;MG2478;2179116;PGI-01P5;-5.7410809;-35.2276932;NATAL NORTE;LITORAL
CMEI PROF. MARIA DE FATIMA MEDEIROS DE ARAUJO;NATAL;LAGOA AZUL;151947018;A1668;3042677;PJA-01J5;-5.73068902;-35.26197094;NATAL NORTE;LITORAL
CMEI PROF. MARIA NAZARE DA COSTA GALVÃO;NATAL;LAGOA AZUL;855702037;T54054;3080465;EXT-01Y7;-5.72787565;-35.27305255;NATAL NORTE;LITORAL
CMEI PROF. STELLA LOPES DA SILVA;NATAL;LAGOA AZUL;150752019;A0179;3037740;PJA-01J4;-5.73708372;-35.26870569;NATAL NORTE;LITORAL
CMEI PROF. TELMA REJANE MOURA FREIRE;NATAL;LAGOA AZUL;151653014;A0348;2117772;PJA-01J4;-5.7319161;-35.26460506;NATAL NORTE;LITORAL
CMEI VULPIANO CAVALCANTI DE ARAUJO;NATAL;IGAPO;7008375717;V05904;3082389;IGA-01Z4;-5.7671788;-35.2718298;NATAL NORTE;LITORAL
COLÉGIO DEGRAUS DO SABER - CDS;NATAL;IGAPO;7012783668;V00488;303809X;LNV-01V7;-5.8101398;-35.2003325;NATAL NORTE;LITORAL
DCC COLÉGIO E CURSO;NATAL;N.S.DA APRESENTAÇÃO;134897015;C5355;3077533;IGA-01Z6;-5.743688;-35.2689989;NATAL NORTE;LITORAL
E. E. ALCEU AMOROSO LIMA;NATAL;LAGOA AZUL;856493466;V03167;305120X;PJA-01J3;-5.73333676;-35.25512767;NATAL NORTE;LITORAL
E. E. ALDO FERNANDES DE MELO;NATAL;LAGOA AZUL;169465010;U28732;3105702;PJA-01J2;-5.72837009;-35.25367495;NATAL NORTE;LITORAL
E. E. ANA JULIA DE CARVALHO MOUSINHO;NATAL;N.S.DA APRESENTAÇÃO;7028433845;C2192;2125427;IGA-01Z4;-5.76289734;-35.2811131;NATAL NORTE;LITORAL
E. E. ARQUITETA ELIZABETH FATIMA ARAUJO GUILHERMINO;NATAL;LAGOA AZUL;150878012;A2125;2011124;PJA-01J4;-5.73677712;-35.26570827;NATAL NORTE;LITORAL
E. E. CONEGO LUIZ WANDERLEY;NATAL;LAGOA AZUL;160997010;A0534;252848X;PJA-01J2;-5.72999813;-35.25056311;NATAL NORTE;LITORAL
E. E. CRISAN SIMINÉA;NATAL;LAGOA AZUL;153863016;A1210;3000265;PJA-01J4;-5.73454087;-35.2565616;NATAL NORTE;LITORAL
E. E. MYRIAM COELI;NATAL;LAGOA AZUL;150878012;A2125;2011124;PJA-01J4;-5.73629385;-35.26542556;NATAL NORTE;LITORAL
E. E. POTIGUASSU;NATAL;IGAPO;7012783668;V00488;303809X;LNV-01V7;-5.809831;-35.2003137;NATAL NORTE;LITORAL
E. E. PROF. MARIA DE LOURDES CAMARA SOUTO;NATAL;LAGOA AZUL;160427019;A1096;252801;PJA-01J2;-5.7240299;-35.2518229;NATAL NORTE;LITORAL
E. E. PROF. PAULO PINHEIRO DE VIVEIROS;NATAL;LAGOA AZUL;151939015;A1543;3000223;PJA-01J5;-5.73110521;-35.26105392;NATAL NORTE;LITORAL
E. M. IRMA ARCANGELA;NATAL;IGAPO;7012783668;V00488;303809X;LNV-01V7;-5.8099716;-35.2003381;NATAL NORTE;LITORAL
E. M. JOAO PAULO II;NATAL;LAGOA AZUL;152467010;A2084;3000181;PJA-01J5;-5.73013019;-35.26245488;NATAL NORTE;LITORAL
E. M. JORN. ERIVAN FRANCA;NATAL;IGAPO;7012783668;V00488;303809X;LNV-01V7;-5.8102932;-35.2003455;NATAL NORTE;LITORAL
E. M. LAERCIO FERNANDES MONTEIRO;NATAL;N.S.DA APRESENTAÇÃO;855643731;V02100;3047654;IGA-01Z5;-5.7545735;-35.27978776;NATAL NORTE;LITORAL
E. M. NOSSA SRA. DA APRESENTAÇAO;NATAL;N.S.DA APRESENTAÇÃO;7009823357;V06082;3079435;IGA-01Z6;-5.7436498;-35.27063288;NATAL NORTE;LITORAL
E. M. PROF. AMADEU ARAUJO;NATAL;LAGOA AZUL;151500013;A2087;1959470;PJA-01J4;-5.73608203;-35.26527018;NATAL NORTE;LITORAL
E. M. PROF. DALVA DE OLIVEIRA;NATAL;N.S.DA APRESENTAÇÃO;133661018;O35135;3004500;IGA-01Z6;-5.75045569;-35.26792637;NATAL NORTE;LITORAL
E. M. PROF. HERLY PARENTE;NATAL;IGAPO;169490015;V06925;3086186;IGA-01Z9;-5.77043041;-35.25303546;NATAL NORTE;LITORAL
E. M. PROF. LOURDES GODEIRO;NATAL;LAGOA AZUL;162936018;B0301;3053474;PJA-01J2;-5.71613882;-35.25030867;NATAL NORTE;LITORAL
E. M. PROF. MARIA DALVA GOMES BEZERRA;NATAL;LAGOA AZUL;160997010;A0534;252848X;PJA-01J2;-5.72912772;-35.2494096;NATAL NORTE;LITORAL
E. M. PROF. TANIA ALMEIDA;NATAL;PAJUCARA;166144019;B0582;3045065;PJA-01J1;-5.7330182;-35.2422574;NATAL NORTE;LITORAL
E. M. PROF. TEREZINHA PAULINO;NATAL;N.S.DA APRESENTAÇÃO;7012783668;V00488;303809X;LNV-01V7;-5.8102916;-35.2003449;NATAL NORTE;LITORAL
E. M. PROF. VERA LÚCIA SOARES BARROS;NATAL;PAJUCARA;855076390;V01961;304619X;PGI-01P4;-5.73968097;-35.23899082;NATAL NORTE;LITORAL
E. M. PROF. ZULEIDE FERNANDES DE MACEDO E SILVA;NATAL;PAJUCARA;851166718;V06980;3086393;PGI-01P5;-5.74139337;-35.23539129;NATAL NORTE;LITORAL
E. M. REGINALDO FERREIRA NETO;NATAL;N.S.DA APRESENTAÇÃO;7012783668;V00488;303809X;LNV-01V7;-5.8101509;-35.2004031;NATAL NORTE;LITORAL
E. M. VER. JOSE SOTERO;NATAL;IGAPO;7012783668;V00488;303809X;LNV-01V7;-5.8099007;-35.2002304;NATAL NORTE;LITORAL
E. M. WALDSON JOSE BASTOS PINHEIRO;NATAL;N.S.DA APRESENTAÇÃO;851163794;D1013;3103480;IGA-01Z5;-5.75383887;-35.271465;NATAL NORTE;LITORAL
EXPANSIVO COLÉGIO E CURSO;NATAL;PAJUCARA;1957015;D3455;2122227;PGI-01P5;-5.74542128;-35.22665623;NATAL NORTE;LITORAL
EXPANSIVO COLÉGIO E CURSO - UNIDADE BOA SORTE;NATAL;N.S.DA APRESENTAÇÃO;141957015;B4892;3075435;IGA-01Z7;-5.754198;-35.2623242;NATAL NORTE;LITORAL
GINÁSIO NÉLIO DIAS;NATAL;LAGOA AZUL;161741019;A0616;252796X;PJA-01J3;-5.7319843;-35.2510867;NATAL NORTE;LITORAL
